Core: LPC_qsys_DDR3_interface_p0 - Instance: LPC_qsys|ddr3_interface
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.969,0.976
"Bus Turnaround Time (Slow 1100mV 85C Model)",4.191,--
"Core (Slow 1100mV 85C Model)",1.115,0.303
"Core Recovery/Removal (Slow 1100mV 85C Model)",9.594,0.777
"DQS vs CK (Slow 1100mV 85C Model)",0.73,0.785
"Postamble (Slow 1100mV 85C Model)",0.772,0.772
"Read Capture (Slow 1100mV 85C Model)",0.346,0.299
"Write (Slow 1100mV 85C Model)",0.38,0.384
"Address Command (Slow 1100mV 0C Model)",0.943,0.981
"Bus Turnaround Time (Slow 1100mV 0C Model)",4.238,--
"Core (Slow 1100mV 0C Model)",1.205,0.347
"Core Recovery/Removal (Slow 1100mV 0C Model)",9.837,0.666
"DQS vs CK (Slow 1100mV 0C Model)",0.803,0.788
"Postamble (Slow 1100mV 0C Model)",0.756,0.756
"Read Capture (Slow 1100mV 0C Model)",0.358,0.311
"Write (Slow 1100mV 0C Model)",0.416,0.424
"Address Command (Fast 1100mV 85C Model)",1.049,1.06
"Bus Turnaround Time (Fast 1100mV 85C Model)",4.668,--
"Core (Fast 1100mV 85C Model)",2.809,0.156
"Core Recovery/Removal (Fast 1100mV 85C Model)",12.704,0.29
"DQS vs CK (Fast 1100mV 85C Model)",0.983,0.971
"Postamble (Fast 1100mV 85C Model)",0.995,0.995
"Read Capture (Fast 1100mV 85C Model)",0.56,0.513
"Write (Fast 1100mV 85C Model)",0.526,0.526
"Address Command (Fast 1100mV 0C Model)",1.018,1.075
"Bus Turnaround Time (Fast 1100mV 0C Model)",4.671,--
"Core (Fast 1100mV 0C Model)",2.827,0.142
"Core Recovery/Removal (Fast 1100mV 0C Model)",13.207,0.261
"DQS vs CK (Fast 1100mV 0C Model)",0.974,0.984
"Postamble (Fast 1100mV 0C Model)",1.013,1.013
"Read Capture (Fast 1100mV 0C Model)",0.564,0.516
"Write (Fast 1100mV 0C Model)",0.536,0.536
